,rtime,lkas,ldws,distance,speed,latitude,longtitude
274,2020-11-07 13:45:32,1,1,16.75,59,37.25138035,127.1036132
275,2020-11-07 13:45:33,1,1,17.39,59,37.25124823,127.1036121
276,2020-11-07 13:45:34,1,1,17.55,60,37.25111821,127.10361280000001
277,2020-11-07 13:45:35,1,1,17.55,60,37.25098067,127.10361329999999
278,2020-11-07 13:45:36,1,1,18.07,62,37.25084466,127.1036146
279,2020-11-07 13:45:37,1,1,18.8,62,37.25070946,127.10361599999999
280,2020-11-07 13:45:38,1,1,19.38,63,37.25056755,127.1036174
281,2020-11-07 13:45:39,1,1,19.38,64,37.25042801,127.1036192
282,2020-11-07 13:45:40,1,1,20.21,65,37.25028739,127.1036216
283,2020-11-07 13:45:41,1,1,20.42,66,37.25014697,127.1036243
284,2020-11-07 13:45:42,1,1,20.65,63,37.2500042,127.10362659999998
285,2020-11-07 13:45:43,1,1,20.0,67,37.24985953,127.1036281
286,2020-11-07 13:45:44,1,1,20.0,68,37.24969891,127.10362990000002
287,2020-11-07 13:45:45,1,1,20.42,69,37.24954486,127.10363249999999
288,2020-11-07 13:45:46,1,1,21.82,70,37.24910144,127.10362659999998
289,2020-11-07 13:45:47,1,1,22.57,71,37.24922014,127.1036378
290,2020-11-07 13:45:48,1,1,22.32,73,37.24905892,127.10364070000001
291,2020-11-07 13:45:49,1,1,21.57,74,37.24859481,127.10359640000001
292,2020-11-07 13:45:50,1,1,21.82,75,37.24841162,127.1035902
293,2020-11-07 13:45:51,1,1,19.58,75,37.24857073,127.1036508
294,2020-11-07 13:45:52,1,1,20.21,74,37.2484076,127.1036534
295,2020-11-07 13:45:53,1,1,19.79,74,37.24819209,127.10365520000002
296,2020-11-07 13:45:54,1,1,18.8,73,37.24798611,127.10365120000002
297,2020-11-07 13:45:55,1,1,19.38,73,37.24779456,127.1036557
298,2020-11-07 13:45:56,1,1,19.38,73,37.24760148,127.1036608
299,2020-11-07 13:45:57,1,1,19.79,74,37.24738471,127.1036669
300,2020-11-07 13:45:58,1,1,20.21,75,37.24719723,127.1036726
301,2020-11-07 13:45:59,1,1,20.42,76,37.24701309,127.1036798
302,2020-11-07 13:46:00,1,1,20.21,77,37.24678573,127.10368999999999
303,2020-11-07 13:46:01,1,1,20.87,77,37.24657506,127.10369979999999
304,2020-11-07 13:46:02,1,1,20.87,77,37.24636749,127.103707
305,2020-11-07 13:46:03,1,1,22.84,78,37.24615442,127.10371540000001
306,2020-11-07 13:46:04,1,1,21.57,79,37.24594744,127.1037239
307,2020-11-07 13:46:05,1,1,22.57,80,37.24573941,127.10373359999998
308,2020-11-07 13:46:06,1,1,21.82,80,37.24554022,127.1037445
309,2020-11-07 13:46:07,1,1,22.06,80,37.24534216,127.1037574
310,2020-11-07 13:46:08,1,1,21.1,80,37.245127000000004,127.10377450000001
311,2020-11-07 13:46:09,1,1,22.32,80,37.24488711,127.10379909999999
312,2020-11-07 13:46:10,1,1,20.87,80,37.24465637,127.1038283
313,2020-11-07 13:46:11,1,1,21.57,81,37.24441761,127.10387040000002
314,2020-11-07 13:46:12,1,1,20.21,81,37.24420943,127.1039308
315,2020-11-07 13:46:13,1,1,21.57,81,37.24407212,127.1041065
316,2020-11-07 13:46:14,1,1,22.32,82,37.24388558,127.1042149
317,2020-11-07 13:46:15,1,1,22.32,82,37.24366636,127.1042643
318,2020-11-07 13:46:16,1,1,22.32,83,37.24344801,127.10430359999998
